Rank,Player,Team,Pos,OVR,OFF,DEF,REB,ReleaseSpeed,ShootingRange,ShotVersatility,RimPressure,HandleUnderPressure,PassingReads,FootSpeed,Stamina,DefensiveEffort,SchemeIQ,RimDeterrence,ScreenNavigation,OffensiveRebounding,Portability,PlayoffTranslation
34,Franz Wagner,ORL,F,82,73,71,46,70,72,76,78,72,70,78,85,78,78,50,78,35,78,78
35,Mikal Bridges,NYK,F,81,66,75,43,78,80,78,60,60,55,82,88,84,80,50,86,30,90,85
36,Trae Young,ATL,G,81,87,38,28,78,84,86,78,90,96,55,78,40,55,18,38,18,45,60
37,OG Anunoby,NYK,F,80,63,78,47,75,78,75,62,55,50,85,85,88,80,55,88,35,88,84
38,Damian Lillard,MIL,G,80,82,42,26,90,95,84,65,84,78,55,65,45,60,20,42,18,55,64
39,Jalen Johnson,ATL,F,80,71,71,59,60,62,72,80,72,72,84,80,78,72,55,78,55,70,68
40,Pascal Siakam,IND,F,80,75,79,51,74,74,82,78,74,71,81,82,85,88,58,86,42,83,90
41,Jimmy Butler,GS,F,80,76,77,55,78,79,81,74,78,69,78,82,83,80,63,82,46,83,88
42,Tyler Herro,MIA,G,80,88,55,42,87,81,91,88,94,78,75,69,58,69,38,54,36,55,81
43,LeBron James,LAL,F,79,77,63,41,65,68,80,65,80,92,50,55,55,85,50,60,35,70,80
44,De'Aaron Fox,SA,G,79,76,60,34,75,76,78,82,80,65,92,80,75,65,25,75,25,68,68
45,Jamal Murray,DEN,G,79,78,48,27,78,82,82,70,80,78,55,60,50,70,22,48,20,65,78
46,Jalen Duren,DET,C,78,46,61,83,30,32,45,70,45,50,70,85,70,60,65,50,88,60,60
47,Ausar Thompson,DET,F,78,53,83,62,30,32,50,75,60,55,92,85,95,80,65,92,55,60,72
48,Tyrese Maxey,PHI,G,78,78,56,33,84,85,80,75,80,68,82,88,70,65,22,68,22,65,65
49,Derrick White,BOS,G,78,73,76,52,77,71,81,76,71,67,81,78,83,79,60,81,43,76,83
50,Lauri Markkanen,UTA,F,78,82,54,40,86,83,85,82,86,72,77,71,61,63,33,58,34,50,85
51,Cason Wallace,OKC,G,77,54,75,34,50,55,55,50,55,55,90,85,92,82,35,92,22,75,78
52,Dyson Daniels,ATL,G,77,56,76,40,50,52,55,55,58,60,90,85,95,80,38,92,30,78,78
53,Donovan Clingan,POR,C,76,40,77,74,25,28,35,60,40,45,60,75,80,78,88,60,70,70,70
54,Ivica Zubac,LAC,C,76,42,72,80,25,28,38,58,42,50,55,80,75,75,88,50,78,72,68
55,Deni Avdija,POR,F,76,68,67,54,60,64,68,68,68,75,75,82,72,75,50,72,48,75,65
56,Darius Garland,LAC,G,76,76,35,23,78,80,76,60,78,80,60,75,35,55,15,35,12,60,58
57,Jrue Holiday,POR,G,76,72,74,50,75,73,79,74,71,66,72,74,80,76,59,80,42,80,83
58,Desmond Bane,ORL,G,76,70,74,52,69,73,73,71,69,65,78,73,78,81,60,79,44,74,87
59,LaMelo Ball,CHA,G,76,82,52,39,80,82,85,80,86,75,70,68,58,64,34,51,34,51,82
60,Jarrett Allen,CLE,C,76,38,81,82,22,28,32,53,38,49,46,72,85,87,91,62,82,77,69
61,Jalen Suggs,ORL,G,74,68,74,47,71,73,70,66,71,60,73,76,79,78,59,81,37,77,80
62,Brandon Ingram,TOR,F,74,82,52,36,81,81,84,78,88,73,68,64,57,64,32,55,30,47,76
63,Amen Thompson,HOU,F,74,57,58,65,52,47,54,80,58,50,85,75,61,58,47,64,67,58,56
64,Austin Reaves,LAL,G,74,75,46,29,68,67,71,63,81,89,61,73,50,67,25,42,19,59,70
65,Andrew Wiggins,MIA,F,72,68,69,45,72,68,75,69,68,62,76,73,72,79,52,74,37,72,79
66,Coby White,CHI,G,72,78,48,36,78,74,82,73,86,70,68,66,54,61,29,48,31,48,74
67,Brandon Miller,CHA,F,70,65,68,46,64,68,70,64,68,58,68,68,75,73,50,72,39,72,80
68,Immanuel Quickley,TOR,G,70,74,48,34,70,72,77,77,77,70,64,62,55,56,30,51,28,47,71
69,Julius Randle,MIN,F,70,77,48,34,76,70,78,76,84,69,65,62,51,60,32,51,27,49,74
70,Draymond Green,GS,F,70,60,69,53,53,59,63,62,59,63,77,72,77,68,56,76,47,69,67
71,Josh Giddey,CHI,G,70,73,46,28,66,67,72,56,81,83,56,65,52,62,26,46,20,59,65
72,Stephon Castle,SA,G,68,65,65,45,63,62,69,65,68,60,69,64,69,69,54,68,38,72,77
73,Anfernee Simons,BOS,G,68,74,48,35,69,73,77,68,82,65,62,65,52,59,29,51,30,43,70
74,DeMar DeRozan,SAC,F,68,72,46,33,68,68,75,69,78,65,66,59,53,56,29,46,28,44,68
75,Zach LaVine,SAC,G,68,72,47,33,69,70,78,70,79,62,67,60,53,59,29,47,27,46,71
76,Norman Powell,LAC,G,68,74,47,36,75,71,79,69,80,64,63,61,48,59,33,47,31,41,73
77,Kristaps Porzingis,ATL,C,68,58,52,67,61,73,60,53,55,52,44,62,47,62,64,36,69,55,60
78,Josh Hart,NYK,F,68,55,68,51,53,58,55,56,52,57,71,66,73,66,58,75,46,71,63
79,Jaden McDaniels,MIN,F,68,40,72,46,40,37,40,39,43,36,79,64,82,75,50,79,41,66,52
80,Jalen Green,PHX,G,66,70,45,30,69,68,69,67,78,59,63,61,53,53,26,48,23,46,70
81,Khris Middleton,DAL,F,66,71,47,34,66,69,76,72,76,62,63,63,49,58,33,47,28,41,72
82,Bennedict Mathurin,IND,F,66,71,45,31,70,71,74,72,75,62,65,57,48,56,31,45,24,45,68
83,Payton Pritchard,BOS,G,66,53,40,25,56,57,53,47,55,52,59,57,45,50,24,42,17,54,42
84,Onyeka Okongwu,ATL,C,66,33,72,72,21,24,33,50,30,39,41,59,77,76,81,52,73,71,66
85,Isaiah Hartenstein,OKC,C,66,32,70,74,18,23,28,49,30,37,44,63,72,69,82,58,74,73,61
86,Walker Kessler,UTA,C,66,33,72,72,16,23,31,47,33,41,45,62,77,74,81,55,72,68,64
87,RJ Barrett,TOR,F,66,50,54,53,45,46,48,66,51,43,75,69,59,57,39,59,53,49,46
88,Aaron Gordon,DEN,F,66,49,53,54,41,42,43,66,51,43,76,66,60,50,47,55,53,55,50
89,Trey Murphy III,NOP,F,66,55,62,39,66,72,58,47,50,49,66,66,72,64,42,72,31,73,64
90,CJ McCollum,WAS,G,64,67,45,33,69,65,71,66,70,62,61,58,51,54,30,46,28,42,65
91,Cam Thomas,BKN,G,64,67,43,31,69,69,67,63,71,63,61,60,44,52,31,45,24,39,69
92,Nikola Vucevic,CHI,C,64,55,48,62,60,70,60,48,52,48,36,60,44,54,65,30,61,51,51
93,Kelly Oubre Jr,PHI,F,64,48,50,54,38,40,43,65,55,39,72,67,51,54,40,55,54,49,51
94,Jonathan Kuminga,GS,F,64,51,49,51,41,43,45,69,55,44,70,63,51,51,40,54,51,51,52
95,Shaedon Sharpe,POR,G,64,48,52,55,39,45,41,65,52,38,70,66,56,53,43,58,56,50,45
96,Devin Vassell,SA,F,64,55,62,38,68,69,57,46,52,48,71,67,72,63,41,74,30,71,65
97,De'Andre Hunter,CLE,F,64,52,62,39,65,65,57,51,44,46,66,68,71,67,39,69,32,70,60
98,Fred VanVleet,HOU,G,64,65,38,24,60,62,64,56,66,77,58,61,41,57,19,36,16,56,60
99,VJ Edgecombe,PHI,G,64,47,42,45,43,45,47,51,49,45,60,54,47,35,38,46,45,41,32
100,Malik Monk,SAC,G,62,65,44,29,63,65,67,66,68,61,59,54,50,51,30,44,22,38,66
101,Kyle Kuzma,MIL,F,62,68,42,30,64,68,71,63,74,62,62,55,49,54,24,42,26,43,62
102,Scoot Henderson,POR,G,62,66,43,29,68,65,72,65,68,61,63,53,50,49,27,45,23,37,64
103,Terry Rozier,MIA,G,62,52,37,23,55,59,51,46,54,49,54,52,43,46,21,39,17,51,40
104,Mitchell Robinson,NYK,C,62,31,68,70,19,18,31,46,32,35,38,56,75,69,75,51,72,67,62
105,Naz Reid,MIN,C,62,49,46,58,56,64,57,43,43,47,40,61,42,54,58,32,57,56,52
106,Jabari Smith Jr,HOU,F,62,52,46,58,61,66,56,49,46,46,39,60,43,50,59,32,58,53,49
107,Miles Bridges,CHA,F,62,47,48,51,38,42,43,63,51,40,66,58,54,47,37,53,53,53,50
108,Cameron Johnson,DEN,F,62,51,60,35,59,63,52,50,48,43,63,69,68,64,39,69,26,75,61
109,Max Strus,CLE,F,62,50,60,37,64,65,59,48,43,40,68,66,70,63,38,67,30,75,62
110,Jerami Grant,POR,F,60,64,40,29,66,62,62,63,71,55,61,53,42,50,23,45,25,41,60
111,Miles McBride,NYK,G,60,48,37,24,53,55,49,38,52,43,50,54,45,44,22,38,18,48,44
112,Ty Jerome,CLE,G,60,50,35,22,49,57,54,42,54,45,48,54,42,46,17,35,15,46,41
113,Kentavious Caldwell-Pope,ORL,G,60,49,58,36,61,61,52,45,47,41,65,64,64,61,40,67,28,70,61
114,Michael Porter Jr,DEN,F,60,47,31,20,61,67,53,25,41,50,33,41,35,47,17,26,16,52,44
115,Klay Thompson,DAL,G,60,47,30,21,64,68,52,29,41,44,31,42,30,48,12,30,19,50,47
116,Isaiah Stewart,DET,C,60,32,66,68,14,23,28,44,34,39,42,58,69,64,77,52,68,64,60
117,Mark Williams,CHA,C,60,32,65,67,19,25,27,45,34,35,38,55,72,62,74,53,68,62,54
118,Jakob Poeltl,TOR,C,60,29,64,68,22,18,24,41,27,37,40,59,66,69,75,48,69,60,58
119,Nic Claxton,BKN,C,60,30,65,69,21,18,29,42,29,38,39,58,65,65,79,51,69,61,61
120,Wendell Carter Jr,ORL,C,60,50,45,55,59,67,53,42,46,47,36,54,40,48,58,33,55,51,51
121,Kel'el Ware,MIA,C,60,49,46,54,58,64,54,44,41,46,37,54,45,50,58,31,53,53,50
122,Bilal Coulibaly,WAS,F,60,49,58,43,46,50,48,50,51,49,62,61,60,62,44,65,38,57,56
123,John Collins,LAC,F,60,46,45,50,41,42,41,59,46,42,70,58,48,47,39,47,51,46,48
124,Alex Caruso,OKC,G,60,37,61,36,34,34,36,39,39,35,69,55,72,61,38,72,31,54,49
125,Andrew Nembhard,IND,G,60,36,62,36,33,32,30,38,40,33,65,60,70,66,41,70,29,60,48
126,Quentin Grimes,PHI,G,60,49,58,36,61,66,57,43,45,38,64,66,70,61,33,67,29,67,62
127,D'Angelo Russell,BKN,G,60,62,38,23,57,54,64,49,65,76,55,55,44,54,21,33,16,47,60
128,Jordan Poole,NOP,G,58,63,42,26,62,58,64,65,66,59,55,50,46,53,27,41,20,37,58
129,Jared McCain,PHI,G,58,48,35,21,48,56,46,43,52,42,49,49,39,44,22,36,14,46,41
130,Sam Hauser,BOS,F,58,46,31,20,59,67,50,24,40,50,36,37,36,48,15,25,17,51,40
131,Rui Hachimura,LAL,F,58,44,30,19,57,65,49,28,38,45,35,38,30,49,13,26,16,53,45
132,Grayson Allen,PHX,G,58,44,29,20,59,70,53,23,35,43,31,44,33,45,13,25,16,48,44
133,Buddy Hield,GS,G,58,47,30,20,63,69,50,30,40,49,30,41,33,48,12,29,17,48,42
134,Alex Sarr,WAS,C,58,30,63,62,16,19,25,40,30,39,40,52,67,66,70,48,62,59,52
135,Daniel Gafford,DAL,C,58,30,65,62,17,21,28,47,29,35,38,52,69,68,74,48,61,63,54
136,Anthony Black,ORL,G,58,49,58,46,43,49,52,52,47,51,64,60,62,57,50,61,42,60,51
137,Davion Mitchell,MIA,G,58,33,58,35,33,30,29,34,36,29,63,55,71,58,39,65,29,55,44
138,Nickeil Alexander-Walker,ATL,G,58,33,60,38,34,32,32,36,31,34,65,54,68,60,44,66,33,53,43
139,Herbert Jones,NOP,F,58,33,59,36,34,30,30,39,33,31,66,53,68,61,41,67,30,55,43
140,Luguentz Dort,OKC,F,58,35,59,38,36,34,32,38,39,28,66,51,68,59,42,68,33,57,47
141,Aaron Nesmith,IND,F,58,49,56,34,61,65,53,41,44,44,59,62,67,55,33,68,28,63,61
142,Christian Braun,DEN,F,58,47,55,31,59,62,49,41,40,44,63,58,65,61,33,62,24,64,59
143,Donte DiVincenzo,MIN,G,58,49,58,32,56,63,52,46,46,39,63,60,67,62,37,66,24,68,55
144,Keegan Murray,SAC,F,58,47,56,34,56,60,48,42,46,38,63,61,66,62,33,64,28,69,62
145,P.J. Washington,DAL,F,58,48,56,35,54,59,53,43,46,42,61,60,66,58,34,65,29,70,57
146,Caris LeVert,DET,G,56,46,35,20,45,50,51,38,50,42,49,48,39,43,18,39,14,46,36
147,Brandin Podziemski,GS,G,56,47,34,22,45,53,51,42,48,44,46,54,38,44,19,33,15,48,38
148,Keyonte George,UTA,G,56,46,34,26,48,48,50,37,49,45,46,47,39,42,23,34,21,47,37
149,Bogdan Bogdanovic,LAC,G,56,44,29,21,55,61,47,29,37,47,32,43,33,42,13,27,18,48,42
150,Tobias Harris,DET,F,56,44,29,20,62,61,44,23,40,45,27,39,29,42,17,27,16,51,42
151,Andre Drummond,PHI,C,56,31,49,51,20,27,26,39,32,35,36,46,50,49,56,41,51,50,33
152,Jonathan Isaac,ORL,F,56,29,63,62,16,19,22,44,30,34,40,54,67,64,71,51,62,57,51
153,Neemias Queta,BOS,C,56,29,61,59,20,23,28,45,28,30,34,50,64,65,69,47,59,59,51
154,Santi Aldama,MEM,F,56,47,42,54,52,62,53,41,45,41,36,56,39,47,58,25,52,49,46
155,Jeremy Sochan,SA,F,56,46,55,41,39,49,45,45,47,46,55,55,60,59,45,55,36,57,53
156,Ron Holland,DET,F,56,44,45,49,34,38,41,59,45,40,64,55,50,44,38,48,51,48,43
157,Marcus Smart,WAS,G,56,34,56,33,31,27,32,36,37,35,58,56,70,55,36,65,27,54,47
158,Kris Dunn,LAC,G,56,31,58,34,31,35,32,34,30,28,62,51,65,55,43,68,28,52,46
159,Tari Eason,HOU,F,56,46,56,43,42,48,50,47,46,45,59,57,61,57,42,62,40,55,54
160,T.J. McConnell,IND,G,56,58,36,25,53,53,53,51,60,69,47,54,37,47,23,36,18,50,53
161,Tyus Jones,DAL,G,56,59,36,24,54,52,55,50,63,67,49,56,36,51,21,34,17,45,55
162,Zaccharie Risacher,ATL,F,56,40,37,39,36,36,43,40,43,39,51,47,39,33,39,37,37,32,25
163,Dylan Harper,SA,G,56,39,38,38,41,38,38,40,42,33,57,52,42,35,35,39,35,31,28
164,Nikola Jovic,MIA,F,56,44,54,42,40,47,44,47,41,50,62,58,56,59,44,57,38,53,54
165,Bobby Portis,MIL,F,56,30,46,49,19,22,26,35,33,33,30,50,47,47,50,42,49,50,33
166,Tre Mann,CHA,G,54,41,34,23,45,45,43,37,43,37,44,45,39,43,22,33,18,39,38
167,Duncan Robinson,MIA,F,54,43,29,19,60,64,43,25,38,43,31,34,27,45,12,31,18,49,43
168,Gary Trent Jr,MIL,G,54,42,27,20,58,58,45,25,36,44,30,38,27,43,13,26,17,44,44
169,Luke Kornet,BOS,C,54,29,44,48,21,28,25,32,32,31,34,50,42,40,54,42,46,47,32
170,Obi Toppin,IND,F,54,42,43,46,35,37,39,57,46,32,59,55,44,45,39,44,46,40,40
171,Derrick Jones Jr,LAC,F,54,41,43,45,35,37,39,58,42,34,62,52,49,43,36,45,46,42,38
172,Ayo Dosunmu,CHI,G,54,32,56,36,33,26,29,32,36,28,57,52,63,55,39,65,32,48,46
173,Toumani Camara,POR,F,54,32,55,34,31,27,33,29,36,31,62,51,66,56,38,61,29,48,42
174,Royce O'Neale,PHX,F,54,45,51,28,53,59,49,40,42,38,59,53,60,55,34,56,20,58,53
175,Russell Westbrook,SAC,G,54,57,34,24,49,52,51,48,62,68,47,51,39,46,21,32,18,46,48
176,Matas Buzelis,CHI,F,54,38,37,35,35,41,41,42,36,39,49,46,41,36,34,38,32,35,20
177,Ace Bailey,UTA,F,54,37,36,34,41,35,38,39,38,33,54,45,41,33,32,36,32,36,21
178,Harrison Barnes,SA,F,52,41,28,20,56,62,42,25,36,38,28,33,27,42,12,30,19,43,41
179,Sam Merrill,CLE,G,52,39,27,17,58,64,41,22,32,38,30,40,26,45,13,23,13,44,36
180,Nick Richards,PHX,C,52,25,59,58,17,18,22,40,24,28,32,46,63,61,67,45,59,53,46
181,Peyton Watson,DEN,F,52,42,52,36,36,43,44,41,41,47,55,49,58,56,41,52,31,55,53
182,Naji Marshall,DAL,F,52,41,51,39,39,41,41,42,39,46,53,51,57,54,40,52,36,51,52
183,Josh Green,CHA,G,52,29,53,33,30,26,29,35,30,26,53,52,59,57,40,56,26,52,40
184,Moses Moody,GS,G,52,45,51,29,51,55,48,41,43,38,52,52,59,56,33,57,22,58,49
185,Aaron Wiggins,OKC,F,52,43,49,29,54,57,44,40,42,33,54,51,60,50,32,54,23,57,56
186,Tre Johnson,WAS,G,52,36,34,33,40,37,34,43,34,32,48,47,42,31,30,33,31,31,22
187,Cole Anthony,ORL,G,52,42,32,23,41,50,40,35,46,39,43,43,36,41,17,34,20,42,37
188,Lonzo Ball,CHI,G,52,54,32,20,46,51,53,42,61,61,45,51,35,43,17,31,13,41,51
189,Kon Knueppel,CHA,F,52,36,37,36,33,34,40,41,33,37,52,51,41,33,36,39,32,34,25
190,Ryan Rollins,MIL,G,50,41,30,20,45,46,40,36,43,34,42,46,35,38,14,35,15,42,33
191,Ajay Mitchell,OKC,G,50,40,29,22,40,47,45,34,41,35,44,49,34,34,19,29,17,43,36
192,Gradey Dick,TOR,F,50,38,26,18,52,59,41,22,32,39,29,38,29,37,12,28,15,42,39
193,Dalton Knecht,LAL,F,50,41,25,17,50,61,44,22,35,44,30,38,28,36,15,22,12,41,36
194,Corey Kispert,WAS,F,50,40,25,17,50,61,42,21,36,39,26,36,29,36,12,22,14,39,38
195,Tim Hardaway Jr,DET,G,50,39,26,18,53,57,42,26,34,38,29,31,27,39,12,25,16,42,40
196,Zach Edey,MEM,C,50,24,53,55,14,18,23,37,21,27,36,45,59,53,59,40,57,56,51
197,Steven Adams,HOU,C,50,28,42,46,24,25,28,35,24,32,31,45,42,41,49,38,46,46,33
198,Goga Bitadze,ORL,C,50,26,56,58,12,14,22,39,28,30,33,47,61,52,64,45,59,56,51
199,Patrick Williams,CHI,F,50,43,49,35,36,42,41,45,44,46,56,48,52,54,41,49,30,49,48
200,Jarace Walker,IND,F,50,41,49,36,36,41,45,41,41,40,52,50,56,47,41,51,32,50,50
201,Nicolas Batum,LAC,F,50,41,52,36,41,40,43,44,38,41,52,52,55,54,43,56,30,50,45
202,Taylor Hendricks,UTA,F,50,41,49,37,34,41,44,40,44,39,51,47,53,48,41,55,33,51,45
203,Jaylin Williams,OKC,F,50,41,49,36,35,37,43,41,44,39,55,46,51,53,39,52,32,52,48
204,Brandon Clarke,MEM,F,50,38,39,43,30,29,32,50,43,36,59,49,44,39,32,40,45,39,37
205,Cam Whitmore,WAS,F,50,39,39,41,30,30,39,55,39,35,58,52,44,36,30,46,42,37,37
206,Jarred Vanderbilt,LAL,F,50,29,51,31,26,26,25,33,30,29,53,46,56,52,35,61,26,51,42
207,Gary Payton II,GS,G,50,28,52,33,24,31,24,28,31,28,55,51,63,51,36,58,28,48,40
208,Max Christie,DAL,G,50,40,49,27,50,55,44,37,35,33,55,53,57,52,32,56,19,55,52
209,Baylor Scheierman,BOS,F,50,41,48,27,50,50,43,34,39,39,51,54,59,47,33,52,19,54,49
210,Mike Conley,MIN,G,50,53,30,21,49,44,54,46,57,59,39,48,35,39,18,27,15,46,45
211,Isaiah Collier,UTA,G,50,50,30,19,41,45,48,42,56,59,46,48,32,41,18,31,12,45,51
212,Reed Sheppard,HOU,G,50,35,34,36,38,31,34,34,36,33,44,43,35,30,35,36,35,33,19
213,Jeremiah Fears,NOP,G,50,33,32,35,34,34,38,34,32,32,51,42,34,28,30,35,35,30,25
214,Chris Paul,SA,G,50,49,32,20,45,45,48,39,51,62,46,47,32,44,18,32,14,39,44
215,Gabe Vincent,LAL,G,48,40,30,20,40,46,44,37,41,35,41,44,37,38,18,28,15,39,33
216,Luke Kennard,ATL,G,48,37,25,20,48,56,41,18,30,41,29,34,26,37,16,20,18,40,34
217,AJ Green,MIL,G,48,38,25,17,52,55,38,21,35,35,30,31,23,41,12,24,15,40,39
218,Kevin Huerter,CHI,G,48,37,26,17,52,51,40,23,29,41,23,32,24,39,15,26,14,38,39
219,Isaiah Jackson,IND,C,48,25,52,55,13,14,21,36,25,32,32,47,53,51,62,44,55,50,47
220,Robert Williams III,POR,C,48,22,51,54,18,15,20,33,20,26,32,42,53,49,60,41,56,53,43
221,Yves Missi,NOP,C,48,23,54,54,12,14,22,33,22,28,32,49,55,53,64,43,53,48,45
222,Dean Wade,CLE,F,48,27,39,42,20,19,22,35,30,28,29,43,42,37,42,34,42,42,31
223,Xavier Tillman,BOS,F,48,28,41,44,21,19,22,34,30,32,27,42,41,40,47,37,44,39,31
224,Terrence Shannon Jr,MIN,G,48,35,37,38,30,31,33,47,37,30,49,48,43,36,31,37,38,39,34
225,Ryan Dunn,PHX,F,48,27,50,33,29,30,26,26,28,24,55,49,61,49,35,56,28,48,42
226,Devin Carter,SAC,G,48,33,32,32,32,35,34,34,34,28,42,40,38,32,28,32,31,27,26
227,Khaman Maluach,PHX,C,48,36,32,33,37,35,36,37,37,32,48,43,36,31,30,30,32,28,21
228,GG Jackson,MEM,F,48,34,32,34,34,32,31,37,34,33,46,46,39,29,31,31,32,27,22
229,Sasha Vezenkov,TOR,F,48,39,37,45,48,51,40,33,36,37,32,42,37,42,46,22,45,42,41
230,Ziaire Williams,BKN,F,48,39,46,32,33,40,42,37,42,37,52,48,51,48,35,48,28,50,43
231,Vince Williams Jr,MEM,F,48,40,49,36,39,38,38,44,40,39,49,49,53,51,40,53,32,48,42
232,Jusuf Nurkic,UTA,C,48,27,39,43,20,23,25,32,29,26,25,40,38,35,48,36,42,41,32
233,De'Anthony Melton,BKN,G,48,39,31,22,41,46,44,32,39,35,41,44,34,36,18,35,17,36,30
234,Guerschon Yabusele,PHI,F,48,27,40,41,20,24,21,34,30,26,29,44,43,40,45,34,39,42,26
235,Simone Fontecchio,DET,F,46,35,23,17,51,53,41,19,30,34,22,31,24,34,12,22,15,39,34
236,Adem Bona,PHI,C,46,24,50,51,16,14,21,32,26,29,29,40,52,50,55,43,53,50,47
237,Trayce Jackson-Davis,GS,C,46,24,38,43,15,24,21,29,27,24,30,36,41,36,43,34,44,42,25
238,Kyle Filipowski,UTA,C,46,36,37,42,45,50,40,31,31,33,27,40,35,43,50,21,41,36,37
239,Jabari Walker,POR,F,46,36,46,37,32,34,40,37,35,36,50,43,50,48,40,45,34,48,47
240,Haywood Highsmith,MIA,F,46,27,47,27,24,27,23,28,30,25,52,44,53,48,30,56,22,43,38
241,Andre Jackson Jr,MIL,F,46,26,46,30,24,23,29,25,28,26,48,41,51,46,33,54,27,43,40
242,Jose Alvarado,NOP,G,46,27,45,27,25,27,22,29,31,22,51,41,53,45,31,51,22,47,39
243,Ochai Agbaji,TOR,G,46,39,44,28,48,51,45,35,34,34,48,47,50,43,31,52,23,57,48
244,Rob Dillingham,MIN,G,46,33,32,32,34,29,32,36,33,31,43,43,33,27,34,34,29,30,25
245,Derik Queen,NOP,C,46,32,30,32,35,34,35,31,33,27,40,37,32,29,27,32,32,31,21
246,Carter Bryant,SA,F,46,32,31,30,32,34,31,33,34,28,47,43,34,27,29,35,27,26,19
247,Egor Demin,BKN,G,46,31,31,30,36,34,30,31,30,26,41,39,36,28,32,29,28,31,24
248,Jaylen Wells,MEM,F,46,33,30,33,36,30,32,31,34,34,41,43,35,26,27,30,32,28,21
249,Zach Collins,CHI,C,46,24,38,42,21,17,25,28,25,26,30,42,36,40,47,31,41,41,27
250,Taurean Prince,MIL,F,46,33,27,18,50,50,38,18,26,34,24,30,28,39,14,26,16,37,33
